year,state,population,crime,crime_against_persons,crime_against_property,crime_against_society
2020,Massachusetts,6993995.0,244872.0,68369.0,163314.0,13189.0
2021,Massachusetts,7384968.0,221092.0,71806.0,133902.0,15384.0
2022,Massachusetts,7341288.0,225442.0,74495.0,136666.0,14281.0
2023,Massachusetts,7117963.0,228815.0,72860.0,140562.0,15393.0
2020,Michigan,6937365.0,423874.0,152516.0,229466.0,42353.0
2021,Michigan,6974521.0,441483.0,161914.0,232086.0,47483.0
2022,Michigan,6883934.0,458004.0,163404.0,251191.0,43409.0
2023,Michigan,6740034.0,464362.0,163546.0,257899.0,42917.0
2020,Minnesota,2007594.0,130373.0,24900.0,89862.0,15611.0
2021,Minnesota,4099670.0,276037.0,49986.0,188393.0,37658.0
2022,Minnesota,4175828.0,262617.0,49495.0,177636.0,35486.0
2023,Minnesota,4158791.0,234454.0,49245.0,157564.0,27645.0
2020,Mississippi,575244.0,54070.0,13720.0,30345.0,11693.0
2021,Mississippi,905502.0,90961.0,23323.0,47549.0,20089.0
2022,Mississippi,857038.0,81971.0,21821.0,42941.0,17209.0
2023,Mississippi,830311.0,74448.0,19558.0,37335.0,17555.0
2020,Missouri,1948766.0,211811.0,49525.0,125444.0,36842.0
2021,Missouri,3536008.0,339251.0,79979.0,196247.0,63025.0
2022,Missouri,3805890.0,361554.0,84956.0,215172.0,61426.0
2023,Missouri,3818839.0,326220.0,86201.0,197418.0,42601.0
2020,Montana,518813.0,53990.0,13548.0,33529.0,7546.0
2021,Montana,520103.0,55780.0,15423.0,34382.0,5975.0
2022,Montana,540336.0,54054.0,15220.0,33507.0,5327.0
2023,Montana,559108.0,52909.0,15668.0,31775.0,5466.0
2020,Nebraska,345759.0,27204.0,6551.0,14613.0,6040.0
2021,Nebraska,858320.0,67754.0,16501.0,35665.0,15588.0
2022,Nebraska,813143.0,65899.0,16285.0,35457.0,14157.0
2023,Nebraska,852901.0,63445.0,15738.0,33620.0,14087.0
2020,Nevada,410368.0,32194.0,8663.0,19474.0,4057.0
2021,Nevada,2750958.0,210752.0,66623.0,114341.0,29788.0
2022,Nevada,2766742.0,215907.0,66588.0,121092.0,28227.0
2023,Nevada,2793748.0,220289.0,64264.0,126611.0,29414.0
2020,New_Hampshire,1299709.0,49273.0,14789.0,27969.0,7454.0
2021,New_Hampshire,1200270.0,46389.0,13844.0,25855.0,6690.0
2022,New_Hampshire,1327502.0,50370.0,15241.0,28145.0,6984.0
2023,New_Hampshire,1129502.0,41112.0,12623.0,22631.0,5858.0
2021,New_Jersey,1721887.0,46497.0,11368.0,31785.0,3344.0
2022,New_Jersey,4842043.0,159748.0,39314.0,109650.0,10784.0
2023,New_Jersey,5841720.0,211964.0,52693.0,144351.0,14920.0
2020,New_Mexico,676407.0,80548.0,20426.0,53802.0,6320.0
2021,New_Mexico,682890.0,84244.0,22229.0,55043.0,6972.0
2022,New_Mexico,1353149.0,151505.0,39709.0,98889.0,12907.0
2023,New_Mexico,1315705.0,153277.0,40705.0,97029.0,15543.0
2020,New_York,668166.0,35006.0,8211.0,24482.0,2313.0
2021,New_York,2145841.0,125000.0,35890.0,82647.0,6463.0
2022,New_York,2774007.0,173528.0,48953.0,115332.0,9243.0
2023,New_York,11382236.0,781651.0,282634.0,449617.0,49400.0
2020,North_Carolina,5226511.0,531141.0,121553.0,314157.0,95431.0
2021,North_Carolina,5744884.0,577660.0,139877.0,328525.0,109258.0
2022,North_Carolina,5794454.0,586581.0,143158.0,333687.0,109736.0
2023,North_Carolina,5842285.0,584857.0,143224.0,333646.0,107987.0
2020,North_Dakota,555616.0,49231.0,10745.0,25514.0,12972.0
2021,North_Dakota,561245.0,51490.0,11988.0,25748.0,13754.0
2022,North_Dakota,554846.0,50227.0,12275.0,24788.0,13164.0
2023,North_Dakota,550362.0,49709.0,12601.0,23914.0,13194.0
2020,Ohio,6267855.0,334496.0,143338.0,185256.0,57579.0
2021,Ohio,6771083.0,489706.0,147958.0,273094.0,68654.0
2022,Ohio,7464580.0,527870.0,159556.0,297556.0,70758.0
2023,Ohio,7703170.0,510805.0,154585.0,286218.0,70002.0
2020,Oklahoma,1938408.0,154675.0,35821.0,99471.0,19383.0
2021,Oklahoma,2981600.0,235426.0,59669.0,144355.0,31402.0
2022,Oklahoma,3184669.0,245713.0,66125.0,144843.0,34745.0
2023,Oklahoma,3217508.0,240159.0,68373.0,135506.0,36280.0
2020,Oregon,2664619.0,213700.0,35311.0,160624.0,20964.0
2021,Oregon,2760566.0,224235.0,39635.0,169748.0,14852.0
2022,Oregon,2771007.0,238829.0,41207.0,184457.0,13165.0
2023,Oregon,2781422.0,227015.0,42819.0,169400.0,14796.0
2022,Pennsylvania,2186488.0,258393.0,66293.0,158494.0,33606.0
2023,Pennsylvania,2679891.0,298066.0,72291.0,187684.0,38091.0
2020,Pennyslvania,12504.0,156.0,22.0,98.0,36.0
2021,Pennyslvania,330385.0,12656.0,2692.0,7005.0,2959.0
2020,Rhode_Island,1065374.0,37731.0,9114.0,25125.0,3492.0
2021,Rhode_Island,1119684.0,37685.0,9191.0,24591.0,3903.0
2022,Rhode_Island,1106286.0,37460.0,9330.0,24964.0,3166.0
2023,Rhode_Island,1119704.0,36306.0,9826.0,23451.0,3029.0
2020,South_Carolina,1651133.0,318311.0,83147.0,184393.0,50771.0
2021,South_Carolina,1681698.0,323982.0,88821.0,182146.0,53015.0
2022,South_Carolina,1930241.0,344550.0,95296.0,188473.0,60781.0
2023,South_Carolina,1840997.0,336204.0,95437.0,181922.0,58845.0
2020,South_Dakota,545627.0,53903.0,13400.0,26770.0,13733.0
2021,South_Dakota,479245.0,45234.0,12772.0,21175.0,11287.0
2022,South_Dakota,511092.0,46589.0,13135.0,22636.0,10818.0
2023,South_Dakota,537859.0,47427.0,13136.0,22035.0,12256.0
2020,Tennessee,4213820.0,491574.0,141630.0,258119.0,91825.0
2021,Tennessee,4061705.0,487012.0,145227.0,238783.0,103002.0
2022,Tennessee,4143468.0,490612.0,142347.0,251478.0,96787.0
2023,Tennessee,4188247.0,500187.0,147202.0,260096.0,92889.0
2020,Texas,16838831.0,1092167.0,333070.0,656175.0,141722.0
2021,Texas,22131241.0,1613004.0,458272.0,938155.0,216577.0
2022,Texas,22008189.0,1687787.0,465531.0,995900.0,226356.0
2023,Texas,22594211.0,1683859.0,463804.0,996810.0,223245.0
2020,Utah,2024902.0,176759.0,32077.0,106928.0,37754.0
2021,Utah,2351808.0,182677.0,35993.0,104198.0,42486.0
2022,Utah,2545468.0,179653.0,37221.0,98978.0,43454.0
2023,Utah,2733410.0,177676.0,39656.0,93262.0,44758.0
2020,Vermont,362205.0,17845.0,3980.0,12470.0,1395.0
2021,Vermont,361549.0,19167.0,4010.0,13775.0,1382.0
2022,Vermont,365393.0,21121.0,4165.0,15694.0,1262.0
2023,Vermont,380110.0,22275.0,4095.0,16716.0,1464.0
2020,Virginia,3260390.0,389961.0,97903.0,219095.0,72963.0
2021,Virginia,3312344.0,375847.0,102551.0,220390.0,52906.0
2022,Virginia,3286029.0,411261.0,108931.0,251480.0,50850.0
2023,Virginia,3367710.0,422167.0,115130.0,252058.0,54979.0
2020,Washington,5005054.0,463418.0,78434.0,354377.0,30607.0
2021,Washington,4931197.0,446924.0,81123.0,350617.0,15184.0
2022,Washington,5048047.0,507256.0,89375.0,401032.0,16849.0
2023,Washington,5086074.0,464430.0,89240.0,354527.0,20663.0
2020,West_Virginia,416628.0,55268.0,13634.0,30008.0,11626.0
2021,West_Virginia,375613.0,51206.0,12990.0,27306.0,10910.0
2022,West_Virginia,326597.0,40002.0,10494.0,21693.0,7815.0
2023,West_Virginia,414441.0,52606.0,14572.0,27025.0,11009.0
2020,Wisconsin,3236015.0,208503.0,43825.0,116342.0,48336.0
2021,Wisconsin,3621491.0,236710.0,47778.0,129592.0,59340.0
2022,Wisconsin,3859430.0,236293.0,49841.0,125301.0,61151.0
2023,Wisconsin,3891744.0,227334.0,50223.0,115818.0,61293.0
2020,Wyoming,35257.0,2110.0,693.0,973.0,444.0
2021,Wyoming,266525.0,20210.0,5650.0,10553.0,4007.0
2022,Wyoming,287259.0,20631.0,6086.0,10669.0,3876.0
2023,Wyoming,349289.0,25851.0,6871.0,13095.0,5885.0
